,date,species,bands,sx,sy
1345,7/16/2015,GRSP,SB-PB,713747,4335212
3637,6/12/2018,GRSP,SB-PB,713749,4335215
3706,6/22/2018,GRSP,SB-PB,713664,4335220
3719,6/22/2018,GRSP,SB-PB,713621,4335233
3696,6/22/2018,GRSP,SB-PB,713658,4335248
1774,5/20/2016,GRSP,SB-PK,712768,4330758
338,6/13/2014,GRSP,SB-PR,712279,4329422
4618,5/19/2020,GRSP,SB-WD,708568,4329105
4658,5/27/2020,GRSP,SB-WG,712325,4329857
3375,5/17/2018,GRSP,SB-WW,713450,4334291
1733,5/12/2016,GRSP,SB-WY,708343,4328790
1736,5/12/2016,GRSP,SB-WY,708376,4328797
1738,5/12/2016,GRSP,SB-WY,708376,4328797
1735,5/12/2016,GRSP,SB-WY,708372,4328812
181,5/28/2014,GRSP,SB-YK,712442,4330006
234,6/2/2014,GRSP,SB-YK,712450,4330026
2035,6/7/2016,GRSP,SD-AA,708266,4328814
2858,6/8/2017,GRSP,SD-AA,711838,4330031
3891,7/17/2018,GRSP,SD-BD,711555,4329038
19,5/9/2014,GRSP,SD-DD,712135,4329355
94,5/14/2014,GRSP,SD-DD,712135,4329355
2494,7/19/2016,GRSP,SD-DG,712755,4332239
862,6/3/2015,GRSP,SD-DK,712048,4328477
170,5/27/2014,GRSP,SD-DK,712150,4328547
875,6/5/2015,GRSP,SD-DO,712550,4328230
3493,5/26/2018,GRSP,SD-DO,711947,4328593
3492,5/26/2018,GRSP,SD-DO,711955,4328602
3484,5/26/2018,GRSP,SD-DO,711950,4328611
3489,5/26/2018,GRSP,SD-DO,711989,4328613
517,7/13/2014,GRSP,SD-DO,711614,4329695
91,5/13/2014,GRSP,SD-DR,711867,4329868
179,5/28/2014,GRSP,SD-DR,711875,4329888
122,5/20/2014,GRSP,SD-DY,712133,4328611
1282,7/13/2015,GRSP,SD-GA,708344,4328675
1277,7/13/2015,GRSP,SD-GA,708306,4328741
2255,6/25/2016,GRSP,SD-GA,708313,4328745
2257,6/25/2016,GRSP,SD-GA,708341,4328764
2256,6/25/2016,GRSP,SD-GA,708282,4328769
485,7/7/2014,GRSP,SD-GA,708310,4328770
1291,7/14/2015,GRSP,SD-GA,708308,4328770
1473,7/22/2015,GRSP,SD-GA,708294,4328771
2041,6/7/2016,GRSP,SD-GA,708254,4328783
2119,6/17/2016,GRSP,SD-GA,708311,4328801
2125,6/17/2016,GRSP,SD-GA,708260,4328806
1204,7/6/2015,GRSP,SD-GA,708281,4328807
269,6/6/2014,GRSP,SD-GA,708261,4328817
487,7/7/2014,GRSP,SD-GA,708263,4328818
2118,6/17/2016,GRSP,SD-GA,708284,4328837
1741,5/12/2016,GRSP,SD-GA,708229,4328849
1742,5/12/2016,GRSP,SD-GA,708229,4328849
3157,7/12/2017,GRSP,SD-GB,713410,4334387
756,5/21/2015,GRSP,SD-GY,711283,4331042
2056,6/9/2016,GRSP,SD-GY,713806,4335512
2058,6/9/2016,GRSP,SD-GY,713791,4335516
4177,5/29/2019,GRSP,SD-KO,707929,4330168
379,6/21/2014,GRSP,SD-KP,711736,4329755
2510,7/26/2016,GRSP,SD-KP,711903,4329823
2511,7/26/2016,GRSP,SD-KP,711926,4329834
2527,7/26/2016,GRSP,SD-KP,711902,4329847
1516,7/25/2015,GRSP,SD-KR,711861,4329752
195,5/28/2014,GRSP,SD-KR,711914,4329797
2566,7/28/2016,GRSP,SD-KR,711869,4329858
380,6/21/2014,GRSP,SD-KY,711611,4329755
182,5/28/2014,GRSP,SD-KY,711081,4330575
194,5/28/2014,GRSP,SD-KY,711081,4330575
983,6/17/2015,GRSP,SD-KY,713497,4334166
1660,8/10/2015,GRSP,SD-KY,713275,4334431
1269,7/11/2015,GRSP,SD-KY,713477,4334450
1102,6/29/2015,GRSP,SD-KY,713441,4334473
1105,6/29/2015,GRSP,SD-KY,713441,4334473
1275,7/13/2015,GRSP,SD-KY,713450,4334476
1484,7/24/2015,GRSP,SD-KY,713435,4334486
1609,8/4/2015,GRSP,SD-KY,713435,4334486
1300,7/15/2015,GRSP,SD-KY,713420,4334491
1132,7/1/2015,GRSP,SD-KY,713480,4334493
1358,7/17/2015,GRSP,SD-KY,713453,4334494
1227,7/7/2015,GRSP,SD-KY,713506,4334498
1621,8/6/2015,GRSP,SD-KY,713465,4334498
1246,7/8/2015,GRSP,SD-KY,713365,4334506
1192,7/6/2015,GRSP,SD-KY,713459,4334510
1654,8/8/2015,GRSP,SD-KY,713533,4334630
1082,6/27/2015,GRSP,SD-KYx,713473,4334477
667,5/10/2015,GRSP,SD-OG,713527,4334239
683,5/11/2015,GRSP,SD-OG,713527,4334239
1108,6/29/2015,GRSP,SD-OG,713517,4334240
1627,8/6/2015,GRSP,SD-OG,713547,4334247
1118,6/29/2015,GRSP,SD-OG,713497,4334249
1111,6/29/2015,GRSP,SD-OG,713517,4334250
1112,6/29/2015,GRSP,SD-OG,713492,4334255
